,,Wavelength (µm),"Reflectance, S-Pol. (%)","Reflectance, P-Pol. (%)","Reflectance, Unpol. (%)"
,,1.036,98.385025,97.26479,97.8249075
,,1.037,98.377312,97.269151,97.8232315
,,1.038,98.37854,97.269082,97.823811
,,1.039,98.371101,97.256068,97.8135845
,,1.040,98.369049,97.256319,97.812684
,,1.041,98.366417,97.256235,97.811326
,,1.042,98.369652,97.258115,97.8138835
,,1.043,98.367462,97.257635,97.8125485
,,1.044,98.369209,97.25931,97.8142595
,,1.045,98.366364,97.268854,97.817609
,,1.046,98.369453,97.272233,97.820843
,,1.047,98.38485,97.263359,97.8241045
,,1.048,98.384995,97.264813,97.824904
,,1.049,98.386612,97.265399,97.8260055
,,1.050,98.286522,97.262146,97.774334
,,1.051,98.34108,97.275269,97.8081745
,,1.052,98.317612,97.305496,97.811554
,,1.053,98.360306,97.312836,97.836571
,,1.054,98.30896,97.295418,97.802189
,,1.055,98.312096,97.295937,97.8040165
,,1.056,98.313675,97.383591,97.848633
,,1.057,98.300865,97.425911,97.863388
,,1.058,98.339668,97.37632,97.857994
,,1.059,98.342331,97.331276,97.8368035
,,1.060,98.325111,97.287949,97.80653
,,1.061,98.384384,97.341789,97.8630865
,,1.062,98.37645,97.272209,97.8243295
,,1.063,98.393379,97.309837,97.851608
,,1.064,98.374023,97.379776,97.8768995
,,1.065,98.348808,97.364449,97.8566285
,,1.066,98.414314,97.347572,97.880943
,,1.067,98.368317,97.319183,97.84375
,,1.068,98.325668,97.317001,97.8213345
,,1.069,98.319405,97.330406,97.8249055
,,1.070,98.358604,97.285118,97.821861
,,1.071,98.392273,97.314926,97.8535995
,,1.072,98.37838,97.370323,97.8743515
,,1.073,98.35714,97.362709,97.8599245
,,1.074,98.381226,97.389832,97.885529
,,1.075,98.357903,97.338852,97.8483775
,,1.076,98.357925,97.385475,97.8717
,,1.077,98.371994,97.334839,97.8534165
,,1.078,98.394135,97.428696,97.9114155
,,1.079,98.387253,97.445412,97.9163325
,,1.080,98.36068,97.438469,97.8995745
,,1.081,98.368141,97.400856,97.8844985
,,1.082,98.349312,97.380081,97.8646965
