,,Wavelength (µm),"Reflectance, P-Pol. (%)","Reflectance, S-Pol. (%)","Reflectance, Unpol. (%)"
,,16.102,94.51828,99.18693,96.8526
,,16.092,94.51495,99.19081,96.85288
,,16.082,94.51168,99.19466,96.85317
,,16.072,94.50847,99.19846,96.85346
,,16.062,94.50547,99.20203,96.85375
,,16.052,94.50236,99.20575,96.85405
,,16.042,94.49946,99.20924,96.85435
,,16.032,94.49646,99.21288,96.85467
,,16.022,94.49351,99.21647,96.85499
,,16.012,94.49076,99.21984,96.8553
,,16.002,94.48792,99.22336,96.85564
,,15.992,94.48513,99.22683,96.85598
,,15.982,94.48254,99.23008,96.85631
,,15.972,94.47986,99.23347,96.85667
,,15.962,94.47738,99.23664,96.85701
,,15.952,94.4748,99.23994,96.85737
,,15.942,94.47242,99.24303,96.85773
,,15.932,94.46995,99.24625,96.8581
,,15.922,94.46767,99.24927,96.85847
,,15.912,94.46532,99.2524,96.85886
,,15.902,94.46314,99.25533,96.85923
,,15.892,94.46089,99.25838,96.85964
,,15.882,94.45881,99.26123,96.86002
,,15.872,94.45668,99.2642,96.86044
,,15.862,94.4547,99.26696,96.86083
,,15.853,94.45278,99.26969,96.86124
,,15.842,94.45081,99.27253,96.86167
,,15.832,94.44899,99.27518,96.86208
,,15.822,94.44713,99.27793,96.86253
,,15.812,94.44541,99.28049,96.86295
,,15.802,94.44375,99.28302,96.86338
,,15.792,94.44205,99.28564,96.86385
,,15.782,94.44049,99.28808,96.86429
,,15.772,94.43898,99.29049,96.86474
,,15.762,94.43745,99.29298,96.86521
,,15.752,94.43605,99.2953,96.86567
,,15.742,94.4347,99.29758,96.86614
,,15.733,94.4334,99.29982,96.86661
,,15.722,94.43208,99.30214,96.86711
,,15.712,94.43088,99.3043,96.86759
,,15.702,94.42974,99.30641,96.86808
,,15.693,94.42865,99.30849,96.86857
,,15.682,94.42755,99.31063,96.86909
,,15.672,94.42656,99.31262,96.86959
,,15.662,94.42563,99.31457,96.8701
,,15.652,94.42475,99.31648,96.87061
,,15.643,94.42391,99.31835,96.87113
,,15.633,94.42313,99.32018,96.87166
,,15.622,94.42236,99.32206,96.87221
,,15.612,94.42169,99.32381,96.87275
,,15.602,94.42106,99.32551,96.87329
,,15.592,94.42049,99.32717,96.87383
