,,Wavelength (µm),"Reflectance, P-Pol. (%)","Reflectance, S-Pol. (%)","Reflectance, Unpol. (%)"
,,16.582,98.82379,90.37452,94.59916
,,16.572,98.83225,90.3538,94.59303
,,16.562,98.84065,90.33322,94.58694
,,16.552,98.84943,90.31172,94.58058
,,16.542,98.85771,90.29144,94.57458
,,16.532,98.86593,90.27131,94.56862
,,16.522,98.87452,90.25029,94.5624
,,16.512,98.88261,90.23046,94.55654
,,16.502,98.89065,90.21079,94.55072
,,16.492,98.89862,90.19127,94.54494
,,16.482,98.90695,90.17088,94.53891
,,16.472,98.91479,90.15167,94.53323
,,16.462,98.92258,90.13261,94.5276
,,16.452,98.9303,90.11371,94.52201
,,16.442,98.93796,90.09497,94.51646
,,16.432,98.94595,90.07541,94.51068
,,16.422,98.95347,90.05698,94.50523
,,16.412,98.96093,90.03872,94.49982
,,16.402,98.96832,90.02061,94.49447
,,16.392,98.97565,90.00266,94.48916
,,16.382,98.98291,89.98488,94.4839
,,16.372,98.99011,89.96725,94.47868
,,16.362,98.99724,89.94979,94.47352
,,16.352,99.0043,89.93249,94.4684
,,16.342,99.01129,89.91536,94.46332
,,16.332,99.01858,89.8975,94.45804
,,16.322,99.02543,89.8807,94.45306
,,16.312,99.03221,89.86407,94.44814
,,16.302,99.03893,89.8476,94.44326
,,16.292,99.04522,89.83216,94.43869
,,16.282,99.0518,89.81602,94.43391
,,16.272,99.0583,89.80005,94.42918
,,16.262,99.06474,89.78425,94.42449
,,16.252,99.0711,89.76862,94.41986
,,16.242,99.07739,89.75316,94.41528
,,16.232,99.08361,89.73788,94.41074
,,16.222,99.08976,89.72276,94.40626
,,16.212,99.09583,89.70782,94.40182
,,16.202,99.10183,89.69305,94.39744
,,16.192,99.10744,89.67922,94.39333
,,16.182,99.1133,89.66479,94.38904
,,16.172,99.11908,89.65054,94.38481
,,16.162,99.12479,89.63646,94.38062
,,16.152,99.13042,89.62256,94.37649
,,16.142,99.13568,89.60955,94.37262
,,16.132,99.14116,89.59599,94.36858
,,16.122,99.14657,89.58262,94.36459
,,16.112,99.1519,89.56942,94.36066
,,16.102,99.15688,89.55708,94.35698
,,16.092,99.16206,89.54423,94.35315
,,16.082,99.16717,89.53156,94.34936
,,16.072,99.17219,89.51907,94.34563
,,16.062,99.17688,89.50741,94.34215
,,16.052,99.18175,89.49528,94.33852
,,16.042,99.1863,89.48395,94.33512
,,16.032,99.19102,89.47217,94.33159
,,16.022,99.19566,89.46058,94.32812
,,16.012,99.19998,89.44976,94.32487
,,16.002,99.20447,89.43853,94.3215
,,15.992,99.20887,89.42747,94.31817
,,15.982,99.21297,89.41718,94.31507
,,15.972,99.21722,89.40649,94.31185
,,15.962,99.22117,89.39653,94.30885
,,15.952,99.22526,89.3862,94.30573
,,15.942,99.22906,89.37659,94.30282
,,15.932,99.23299,89.36663,94.29981
,,15.922,99.23664,89.35736,94.297
,,15.912,99.24041,89.34777,94.29409
,,15.902,99.24391,89.33885,94.29138
,,15.892,99.24752,89.32962,94.28857
,,15.882,99.25086,89.32105,94.28595
,,15.872,99.25431,89.31219,94.28325
,,15.862,99.2575,89.30397,94.28073
,,15.853,99.26061,89.29592,94.27826
,,15.842,99.26382,89.28761,94.27571
,,15.832,99.26678,89.27991,94.27334
,,15.822,99.26982,89.27197,94.27089
,,15.812,99.27262,89.26463,94.26862
,,15.802,99.27535,89.25745,94.2664
,,15.792,99.27814,89.25007,94.26411
,,15.782,99.28072,89.24325,94.26198
,,15.772,99.28321,89.2366,94.25991
,,15.762,99.28576,89.22978,94.25777
,,15.752,99.28809,89.22349,94.25579
,,15.742,99.29035,89.21737,94.25386
,,15.733,99.29253,89.21143,94.25198
,,15.722,99.29475,89.20534,94.25005
,,15.712,99.29677,89.19976,94.24826
,,15.702,99.29871,89.19434,94.24653
,,15.693,99.30058,89.18911,94.24484
,,15.682,99.30246,89.18377,94.24312
,,15.672,99.30417,89.17889,94.24153
,,15.662,99.30579,89.17418,94.23999
,,15.652,99.30734,89.16965,94.2385
,,15.643,99.30881,89.1653,94.23705
,,15.633,99.3102,89.16112,94.23566
,,15.622,99.31158,89.1569,94.23424
,,15.612,99.31281,89.15308,94.23294
,,15.602,99.31396,89.14943,94.2317
,,15.592,99.31503,89.14596,94.2305
,,15.582,99.31602,89.14267,94.22934
,,15.573,99.31693,89.13955,94.22824
,,15.563,99.31776,89.13661,94.22718
,,15.553,99.31851,89.13384,94.22618
,,15.543,99.31918,89.13125,94.22522
,,15.533,99.31977,89.12884,94.2243
,,15.523,99.32028,89.1266,94.22344
,,15.513,99.32071,89.12453,94.22262
,,15.503,99.32106,89.12265,94.22185
,,15.493,99.32133,89.12094,94.22113
,,15.483,99.32152,89.1194,94.22046
,,15.473,99.32163,89.11804,94.21983
,,15.463,99.32166,89.11686,94.21926
,,15.453,99.3216,89.11585,94.21873
,,15.443,99.32147,89.11502,94.21824
,,15.433,99.32126,89.11436,94.21781
,,15.423,99.32096,89.11388,94.21742
,,15.413,99.32059,89.11357,94.21708
,,15.402,99.32013,89.11344,94.21679
,,15.392,99.31959,89.11349,94.21654
,,15.382,99.31897,89.11371,94.21634
,,15.373,99.31832,89.11408,94.2162
,,15.363,99.31754,89.11464,94.21609
,,15.353,99.31668,89.11538,94.21603
,,15.343,99.31574,89.11629,94.21602
,,15.332,99.31472,89.11738,94.21605
,,15.322,99.31362,89.11865,94.21613
,,15.313,99.31251,89.12,94.21625
,,15.303,99.31125,89.1216,94.21642
,,15.293,99.30991,89.12338,94.21664
,,15.282,99.30848,89.12533,94.21691
,,15.273,99.30706,89.12733,94.2172
,,15.263,99.30548,89.12962,94.21755
,,15.253,99.30382,89.13209,94.21796
,,15.242,99.30208,89.13473,94.2184
,,15.233,99.30036,89.13738,94.21887
,,15.223,99.29846,89.14035,94.2194
,,15.213,99.29647,89.1435,94.21999
,,15.202,99.29441,89.14682,94.22062
,,15.193,99.29238,89.15012,94.22125
,,15.183,99.29016,89.15378,94.22197
,,15.172,99.28786,89.15761,94.22273
,,15.163,99.2856,89.16138,94.22349
,,15.153,99.28314,89.16555,94.22434
,,15.143,99.28074,89.16964,94.22519
,,15.133,99.27812,89.17414,94.22613
,,15.123,99.27542,89.17881,94.22711
,,15.113,99.27279,89.18337,94.22808
,,15.103,99.26993,89.18837,94.22915
,,15.093,99.26716,89.19325,94.23021
,,15.083,99.26414,89.19859,94.23136
,,15.072,99.26104,89.20409,94.23257
,,15.063,99.25804,89.20944,94.23374
,,15.053,99.25479,89.21527,94.23503
,,15.043,99.25164,89.22093,94.23629
,,15.033,99.24823,89.22709,94.23766
,,15.023,99.24493,89.23307,94.239
,,15.013,99.24136,89.23955,94.24046
,,15.003,99.23791,89.24583,94.24187
,,14.993,99.23419,89.25265,94.24342
,,14.983,99.2306,89.25923,94.24491
,,14.973,99.22671,89.26637,94.24654
,,14.963,99.22297,89.27326,94.24812
,,14.953,99.21916,89.2803,94.24973
,,14.943,99.21505,89.28792,94.25148
,,14.933,99.21109,89.29526,94.25318
,,14.923,99.20682,89.3032,94.25501
,,14.913,99.20271,89.31085,94.25678
,,14.903,99.19854,89.31864,94.25859
,,14.893,99.19404,89.32705,94.26054
,,14.883,99.18971,89.33514,94.26243
,,14.873,99.18506,89.34387,94.26447
,,14.863,99.18059,89.35226,94.26643
,,14.853,99.17605,89.3608,94.26843
,,14.843,99.17117,89.37,94.27058
,,14.833,99.16649,89.37883,94.27266
,,14.823,99.16173,89.3878,94.27477
,,14.813,99.15662,89.39746,94.27704
,,14.803,99.15172,89.40673,94.27923
,,14.793,99.14675,89.41614,94.28145
,,14.783,99.14171,89.4257,94.28371
,,14.773,99.1363,89.43597,94.28613
,,14.763,99.13112,89.44581,94.28847
,,14.753,99.12587,89.45579,94.29083
,,14.743,99.12055,89.46592,94.29323
,,14.733,99.11484,89.47679,94.29581
,,14.723,99.10938,89.4872,94.29829
,,14.713,99.10385,89.49775,94.3008
,,14.703,99.09825,89.50843,94.30334
,,14.693,99.09258,89.51926,94.30592
,,14.683,99.0865,89.53087,94.30868
,,14.673,99.08069,89.54198,94.31133
,,14.663,99.07481,89.55322,94.31402
,,14.653,99.06887,89.5646,94.31673
,,14.643,99.06285,89.57611,94.31948
,,14.633,99.05677,89.58776,94.32227
,,14.623,99.05026,89.60024,94.32525
,,14.613,99.04404,89.61217,94.3281
,,14.603,99.03775,89.62423,94.33099
,,14.593,99.03139,89.63642,94.33391
,,14.583,99.02497,89.64874,94.33686
,,14.573,99.01848,89.66119,94.33984
,,14.563,99.01193,89.67378,94.34286
,,14.553,99.00531,89.6865,94.3459
,,14.543,98.99862,89.69935,94.34898
,,14.533,98.99187,89.71232,94.3521
,,14.523,98.98505,89.72543,94.35524
,,14.513,98.97816,89.73866,94.35841
,,14.503,98.97121,89.75203,94.36162
,,14.493,98.9642,89.76552,94.36486
,,14.483,98.95712,89.77913,94.36813
,,14.473,98.94997,89.79288,94.37142
,,14.463,98.94276,89.80675,94.37475
,,14.453,98.93549,89.82074,94.37811
,,14.443,98.92815,89.83486,94.3815
,,14.433,98.92075,89.8491,94.38492
,,14.423,98.91328,89.86347,94.38837
,,14.413,98.90575,89.87796,94.39185
,,14.403,98.89816,89.89257,94.39536
,,14.393,98.8905,89.9073,94.3989
,,14.383,98.88278,89.92216,94.40247
,,14.373,98.875,89.93713,94.40606
,,14.363,98.86715,89.95223,94.40969
,,14.353,98.85924,89.96744,94.41334
,,14.343,98.85127,89.98277,94.41702
,,14.333,98.84324,89.99822,94.42073
,,14.323,98.83563,90.01287,94.42425
,,14.313,98.82748,90.02855,94.42801
,,14.303,98.81926,90.04434,94.4318
,,14.293,98.81099,90.06025,94.43562
,,14.283,98.80266,90.07628,94.43947
,,14.273,98.79426,90.09242,94.44334
,,14.263,98.78631,90.10771,94.44701
,,14.253,98.7778,90.12407,94.45093
,,14.243,98.76923,90.14054,94.45488
,,14.233,98.7606,90.15712,94.45886
,,14.223,98.75191,90.17381,94.46286
,,14.213,98.74367,90.18962,94.46665
,,14.203,98.73487,90.20653,94.4707
,,14.193,98.72601,90.22355,94.47478
,,14.183,98.71709,90.24067,94.47888
,,14.174,98.70864,90.25688,94.48276
,,14.163,98.69961,90.27421,94.48691
,,14.153,98.69052,90.29165,94.49108
,,14.143,98.68137,90.30919,94.49528
,,14.133,98.67271,90.3258,94.49926
,,14.123,98.66345,90.34355,94.5035
,,14.113,98.65414,90.3614,94.50777
,,14.104,98.64532,90.37829,94.5118
,,14.093,98.6359,90.39634,94.51612
,,14.083,98.62642,90.41448,94.52045
,,14.074,98.61745,90.43166,94.52455
,,14.063,98.60787,90.45,94.52893
,,14.053,98.59823,90.46844,94.53333
,,14.044,98.5891,90.48589,94.5375
,,14.033,98.57936,90.50452,94.54194
,,14.023,98.56956,90.52325,94.54641
,,14.014,98.56029,90.54097,94.55063
,,14.003,98.55039,90.55988,94.55514
,,13.993,98.54043,90.57889,94.55966
,,13.983,98.53101,90.59687,94.56394
,,13.973,98.52096,90.61606,94.56851
,,13.964,98.51144,90.63421,94.57283
,,13.953,98.50129,90.65358,94.57743
,,13.944,98.49168,90.67189,94.58179
,,13.933,98.48142,90.69144,94.58643
,,13.923,98.47111,90.71107,94.59109
,,13.913,98.46136,90.72964,94.5955
,,13.903,98.45096,90.74944,94.6002
,,13.893,98.44112,90.76816,94.60464
,,13.883,98.43062,90.78814,94.60938
,,13.874,98.42069,90.80702,94.61385
,,13.863,98.41009,90.82716,94.61862
,,13.854,98.40007,90.84619,94.62313
,,13.843,98.38938,90.86649,94.62794
,,13.834,98.37927,90.88568,94.63247
,,13.823,98.36848,90.90614,94.63731
,,13.813,98.35829,90.92547,94.64188
,,13.803,98.34741,90.94609,94.64675
