,,Wavelength (µm),"Reflectance, P-Pol. (%)","Reflectance, S-Pol. (%)","Reflectance, Unpol. (%)"
,,15.163,93.21892,99.91781,96.56837
,,15.153,93.21987,99.91782,96.56884
,,15.143,93.22082,99.91778,96.5693
,,15.133,93.2219,99.91768,96.56979
,,15.123,93.22304,99.91753,96.57029
,,15.113,93.22418,99.91734,96.57076
,,15.103,93.22546,99.91708,96.57127
,,15.093,93.22673,99.91679,96.57176
,,15.083,93.22814,99.91643,96.57228
,,15.072,93.22962,99.91601,96.57282
,,15.063,93.23108,99.91557,96.57332
,,15.053,93.23269,99.91504,96.57387
,,15.043,93.23428,99.9145,96.57439
,,15.033,93.23602,99.91387,96.57495
,,15.023,93.23773,99.91323,96.57548
,,15.013,93.23961,99.9125,96.57605
,,15.003,93.24144,99.91175,96.5766
,,14.993,93.24345,99.91092,96.57718
,,14.983,93.24541,99.91007,96.57774
,,14.973,93.24755,99.90913,96.57834
,,14.963,93.24963,99.90819,96.57891
,,14.953,93.25177,99.9072,96.57949
,,14.943,93.2541,99.90611,96.5801
,,14.933,93.25637,99.90502,96.58069
,,14.923,93.25883,99.90382,96.58132
,,14.913,93.26122,99.90263,96.58193
,,14.903,93.26367,99.9014,96.58253
,,14.893,93.26632,99.90004,96.58318
,,14.883,93.26889,99.89872,96.5838
,,14.873,93.27168,99.89726,96.58447
,,14.863,93.27437,99.89583,96.5851
,,14.853,93.27712,99.89435,96.58574
,,14.843,93.2801,99.89274,96.58642
,,14.833,93.28297,99.89117,96.58707
,,14.823,93.2859,99.88955,96.58773
,,14.813,93.28907,99.88779,96.58843
,,14.803,93.29212,99.88608,96.5891
,,14.793,93.29522,99.88431,96.58977
,,14.783,93.29839,99.88251,96.59045
,,14.773,93.30181,99.88054,96.59117
,,14.763,93.30509,99.87864,96.59187
,,14.753,93.30844,99.87669,96.59256
,,14.743,93.31184,99.87469,96.59327
,,14.733,93.3155,99.87253,96.59402
,,14.723,93.31902,99.87044,96.59473
,,14.713,93.32259,99.8683,96.59545
,,14.703,93.32623,99.86612,96.59618
,,14.693,93.32992,99.8639,96.59691
,,14.683,93.33389,99.86149,96.59769
,,14.673,93.33769,99.85916,96.59843
,,14.663,93.34156,99.8568,96.59918
,,14.653,93.34547,99.85439,96.59993
,,14.643,93.34945,99.85193,96.60069
,,14.633,93.35348,99.84943,96.60145
,,14.623,93.35781,99.84673,96.60227
,,14.613,93.36196,99.84413,96.60304
,,14.603,93.36616,99.84149,96.60382
,,14.593,93.37041,99.83881,96.60461
,,14.583,93.37472,99.83608,96.6054
,,14.573,93.37909,99.83331,96.6062
,,14.563,93.38351,99.83049,96.607
,,14.553,93.38799,99.82763,96.60781
,,14.543,93.39252,99.82473,96.60862
,,14.533,93.3971,99.82178,96.60944
,,14.523,93.40174,99.81878,96.61026
,,14.513,93.40643,99.81575,96.61109
,,14.503,93.41118,99.81267,96.61192
,,14.493,93.41598,99.80955,96.61276
,,14.483,93.42083,99.80638,96.6136
,,14.473,93.42573,99.80317,96.61445
,,14.463,93.43069,99.79992,96.61531
,,14.453,93.4357,99.79662,96.61616
,,14.443,93.44077,99.79329,96.61703
,,14.433,93.44588,99.78991,96.6179
,,14.423,93.45105,99.78649,96.61877
,,14.413,93.45627,99.78302,96.61965
,,14.403,93.46154,99.77952,96.62053
,,14.393,93.46686,99.77597,96.62142
,,14.383,93.47224,99.77238,96.62231
,,14.373,93.47766,99.76875,96.62321
,,14.363,93.48314,99.76508,96.62411
,,14.353,93.48867,99.76136,96.62502
,,14.343,93.49425,99.75761,96.62593
,,14.333,93.49987,99.75381,96.62684
,,14.323,93.50522,99.7502,96.62771
,,14.313,93.51094,99.74633,96.62863
,,14.303,93.51672,99.74241,96.62956
,,14.293,93.52254,99.73846,96.6305
,,14.283,93.52841,99.73446,96.63144
,,14.273,93.53433,99.73042,96.63238
,,14.263,93.53995,99.72659,96.63327
,,14.253,93.54597,99.72248,96.63422
,,14.243,93.55203,99.71832,96.63518
,,14.233,93.55814,99.71413,96.63614
,,14.223,93.5643,99.7099,96.6371
,,14.213,93.57015,99.70589,96.63802
,,14.203,93.5764,99.70158,96.63899
,,14.193,93.5827,99.69723,96.63997
,,14.183,93.58904,99.69285,96.64095
,,14.174,93.59506,99.68869,96.64188
,,14.163,93.6015,99.68423,96.64287
,,14.153,93.60798,99.67974,96.64386
,,14.143,93.61451,99.67521,96.64486
,,14.133,93.62069,99.67091,96.6458
,,14.123,93.62731,99.6663,96.64681
,,14.113,93.63397,99.66166,96.64782
,,14.104,93.64028,99.65726,96.64877
,,14.093,93.64703,99.65254,96.64979
,,14.083,93.65382,99.64779,96.65081
,,14.074,93.66026,99.64329,96.65177
,,14.063,93.66714,99.63847,96.6528
,,14.053,93.67406,99.63361,96.65383
,,14.044,93.68061,99.629,96.65481
,,14.033,93.68762,99.62408,96.65585
,,14.023,93.69467,99.61912,96.65689
,,14.014,93.70134,99.61441,96.65788
,,14.003,93.70847,99.60938,96.65893
